matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento;dt_pgto;vlr_pago
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;31/01/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;3;01/04/2024;01/04/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;4;30/04/2024;30/04/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;5;31/05/2024;31/05/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;6;01/07/2024;01/07/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;7;31/07/2024;31/07/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;8;02/09/2024;02/09/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;10;31/10/2024;31/10/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;0.00
945;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;0.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;15/03/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;3;01/04/2024;01/04/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;4;30/04/2024;30/04/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;5;31/05/2024;31/05/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;6;01/07/2024;01/07/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;7;31/07/2024;31/07/2024;324.00
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;8;02/09/2024;02/09/2024;263.50
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;263.50
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;10;31/10/2024;31/10/2024;263.50
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;263.50
987;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;12;20/12/2024;02/01/2025;324.00
991;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;5;31/05/2024;31/05/2024;700.00
991;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;6;01/07/2024;28/06/2024;700.00
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;7;31/07/2024;29/07/2024;820.25
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;8;02/09/2024;29/08/2024;820.25
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;820.25
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;10;31/10/2024;10/10/2024;820.25
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;11;02/12/2024;04/11/2024;820.25
991;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;12;20/12/2024;09/12/2024;820.25
938;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;11/12/2023;283.05
938;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;306.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;3;01/04/2024;28/03/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;4;30/04/2024;30/04/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;5;31/05/2024;31/05/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;6;01/07/2024;01/07/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;7;31/07/2024;31/07/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;8;02/09/2024;02/09/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;10;31/10/2024;31/10/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;650.00
938;INFANTIL II A - MANHÃ;;SE;788.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;650.00
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;7;31/07/2024;08/08/2024;342.00
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;7.20;0.12;0.00;8;02/09/2024;03/09/2024;367.32
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;7.20;0.36;0.00;9;30/09/2024;03/10/2024;367.56
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;10;31/10/2024;28/10/2024;342.00
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;7.20;0.24;0.00;11;02/12/2024;04/12/2024;367.44
993;INFANTIL II A - MANHÃ;;SE;360.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;342.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;1;31/01/2024;04/12/2023;730.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;2;29/02/2024;23/02/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;3;01/04/2024;27/03/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;4;30/04/2024;26/04/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;5;31/05/2024;27/05/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;6;01/07/2024;21/06/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;7;31/07/2024;26/07/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;8;02/09/2024;22/08/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;10;31/10/2024;28/10/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;11;02/12/2024;25/11/2024;801.00
899;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;1;31/01/2024;02/01/2024;800.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;3;01/04/2024;01/04/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;4;30/04/2024;30/04/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;5;31/05/2024;31/05/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;6;01/07/2024;01/07/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;7;31/07/2024;31/07/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;8;02/09/2024;30/08/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;10;31/10/2024;31/10/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;801.00
949;INFANTIL II A - MANHÃ;;SE;965.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;801.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;07/11/2023;316.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;21/02/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;3;01/04/2024;20/03/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;4;30/04/2024;22/04/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;5;31/05/2024;22/05/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;6;01/07/2024;20/06/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;7;31/07/2024;23/07/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;8;02/09/2024;22/08/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;10;31/10/2024;28/10/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;11;02/12/2024;22/11/2024;342.00
919;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;342.00
936;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;04/12/2023;316.00
936;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;342.00
936;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;0.83;0.00;3;01/04/2024;08/04/2024;368.03
936;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;0.83;0.00;4;30/04/2024;07/05/2024;368.03
936;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;0.83;0.00;5;31/05/2024;07/06/2024;368.03
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;6;10/07/2024;05/07/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;7;12/08/2024;06/08/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;8;10/09/2024;02/09/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;9;10/10/2024;03/09/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;10;11/11/2024;04/11/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;11;10/12/2024;03/12/2024;820.25
936;INFANTIL II (B) - TARDE;;SE;965.00;0.00;0.00;0.00;0.00;12;10/12/2024;10/12/2024;820.25
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;31/01/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;0.12;0.00;3;01/04/2024;02/04/2024;367.32
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;4;30/04/2024;09/05/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;5;31/05/2024;27/05/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;6;01/07/2024;10/07/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;10.10;0.00;7;31/07/2024;24/10/2024;377.30
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;8;02/09/2024;02/09/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;9;30/09/2024;30/09/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;10;31/10/2024;06/11/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;288.00
956;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;12;20/12/2024;20/12/2024;288.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;29/01/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;2;29/02/2024;29/02/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;3;01/04/2024;01/04/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;7.20;0.36;0.00;4;30/04/2024;03/05/2024;367.56
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;5;31/05/2024;06/06/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;8;02/09/2024;04/09/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;9;30/09/2024;03/10/2024;342.00
975;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;11;02/12/2024;02/12/2024;342.00
985;INFANTIL II (B) - TARDE;;SE;360.00;0.00;0.00;0.00;0.00;1;31/01/2024;16/02/2024;300.00
