matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;22.00;32.67;1154.67;11;01/12/2025
995;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1057;INFANTIL II A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1011;INFANTIL II A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1011;INFANTIL II A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1058;INFANTIL II A - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
938;INFANTIL II A - MANHÃ;;SE;509.40;0.00;10.19;20.34;539.93;10;31/10/2025
938;INFANTIL II A - MANHÃ;;SE;509.40;0.00;10.19;11.60;531.19;12;22/12/2025
1018;INFANTIL II A - MANHÃ;;SE;531.00;0.00;10.62;15.77;557.39;11;01/12/2025
1018;INFANTIL II A - MANHÃ;;SE;531.00;0.00;10.62;12.09;553.71;12;22/12/2025
1045;INFANTIL II (B) - TARDE;;SE;486.00;0.00;9.72;11.07;506.79;12;22/12/2025
1009;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1009;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
955;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;31.89;435.81;6;30/06/2025
955;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
955;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1062;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;31.89;435.81;6;30/06/2025
1062;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;23.65;427.57;8;01/09/2025
1062;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;19.86;423.78;9;30/09/2025
1062;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1062;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1047;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;19.86;423.78;9;30/09/2025
1047;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
1047;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1047;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;47.83;451.75;2;28/02/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;43.78;447.70;3;31/03/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;39.86;443.78;4;30/04/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;35.54;439.46;5;02/06/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;31.89;435.81;6;30/06/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;27.83;431.75;7;31/07/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;23.65;427.57;8;01/09/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;19.86;423.78;9;30/09/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1033;INFANTIL II (B) - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1019;INFANTIL II (B) - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
1041;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1041;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1003;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1003;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
996;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
996;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
996;INFANTIL III A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;31.89;435.81;6;30/06/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;27.83;431.75;7;31/07/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;23.65;427.57;8;01/09/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;19.86;423.78;9;30/09/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1048;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
919;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
919;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;47.83;451.75;2;28/02/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;39.86;443.78;4;30/04/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;35.54;439.46;5;02/06/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;31.89;435.81;6;30/06/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;27.83;431.75;7;31/07/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;23.65;427.57;8;01/09/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;19.86;423.78;9;30/09/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;15.81;419.73;10;31/10/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
917;INFANTIL III B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
