matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento
923;INFANTIL III B - TARDE;;SE;486.00;0.00;9.72;11.07;506.79;12;22/12/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;119.13;1139.13;2;05/03/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;108.24;1128.24;3;07/04/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;99.00;1119.00;4;05/05/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;88.77;1108.77;5;05/06/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;78.21;1098.21;6;07/07/2025
982;INFANTIL IV A - MANHÃ;;SE;1000.00;0.00;20.00;68.64;1088.64;7;05/08/2025
982;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;23.13;427.05;8;05/09/2025
982;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;19.08;423.00;9;06/10/2025
982;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;15.16;419.08;10;05/11/2025
982;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;11.24;415.16;11;05/12/2025
982;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;11.24;415.16;12;05/12/2025
932;INFANTIL IV A - MANHÃ;;SE;1190.00;0.00;23.80;35.34;1249.14;11;01/12/2025
932;INFANTIL IV A - MANHÃ;;SE;1190.00;0.00;23.80;27.10;1240.90;12;22/12/2025
933;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
933;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1050;INFANTIL IV A - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
977;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
977;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1000;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1000;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
847;INFANTIL IV A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
967;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
967;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
874;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
874;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
885;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1012;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
1012;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
860;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1049;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1049;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
884;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
884;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
1008;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
1008;INFANTIL IV B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
902;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
902;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
953;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
953;INFANTIL IV B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
776;INFANTIL V A - MANHÃ;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
776;INFANTIL V A - MANHÃ;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
839;INFANTIL V A - MANHÃ;;SE;509.40;0.00;10.19;20.34;539.93;10;31/10/2025
839;INFANTIL V A - MANHÃ;;SE;509.40;0.00;10.19;11.60;531.19;12;22/12/2025
1020;INFANTIL V A - MANHÃ;;SE;496.00;0.00;9.92;29.63;535.55;8;01/09/2025
1020;INFANTIL V A - MANHÃ;;SE;496.00;0.00;9.92;19.81;525.73;10;31/10/2025
1020;INFANTIL V A - MANHÃ;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
1020;INFANTIL V A - MANHÃ;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
962;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
962;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
850;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
850;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
966;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
966;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
889;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
889;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
784;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.76;415.68;11;01/12/2025
784;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
939;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;42.86;446.78;3;07/04/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;39.20;443.12;4;05/05/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;35.15;439.07;5;05/06/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;30.97;434.89;6;07/07/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;27.18;431.10;7;05/08/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;23.13;427.05;8;05/09/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;19.08;423.00;9;06/10/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;15.16;419.08;10;05/11/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.24;415.16;11;05/12/2025
818;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;11.24;415.16;12;05/12/2025
974;INFANTIL V B - TARDE;;SE;396.00;0.00;7.92;9.02;412.94;12;22/12/2025
852;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
852;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
817;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;19.81;525.73;10;31/10/2025
817;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;14.73;520.65;11;01/12/2025
817;INFANTIL V B - TARDE;;SE;496.00;0.00;9.92;11.29;517.21;12;22/12/2025
905;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
905;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1027;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
937;1º ANO - MANHÃ;;SE;1100.00;0.00;22.00;32.67;1154.67;11;01/12/2025
937;1º ANO - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
1037;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1037;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
771;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
771;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
914;1º ANO - MANHÃ;;SE;674.00;0.00;13.48;20.02;707.50;11;01/12/2025
914;1º ANO - MANHÃ;;SE;674.00;0.00;13.48;15.35;702.83;12;22/12/2025
1014;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
673;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
673;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
942;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;21.27;453.75;9;30/09/2025
942;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
942;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
942;1º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
750;1º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
750;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
750;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;46.87;479.35;3;31/03/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;42.68;475.16;4;30/04/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;38.06;470.54;5;02/06/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;34.14;466.62;6;30/06/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;29.80;462.28;7;31/07/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;25.33;457.81;8;01/09/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;21.27;453.75;9;30/09/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
969;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
714;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
714;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
920;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
920;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
929;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
929;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
788;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
788;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
964;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
809;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
970;1º ANO - TARDE;;SE;524.00;0.00;10.48;15.56;550.04;11;01/12/2025
970;1º ANO - TARDE;;SE;524.00;0.00;10.48;11.93;546.41;12;22/12/2025
815;1º ANO - TARDE;;SE;524.00;0.00;10.48;11.93;546.41;12;22/12/2025
735;1º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
735;1º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
840;1° ANO C - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
840;1° ANO C - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
813;1° ANO C - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
813;1° ANO C - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
734;1° ANO C - TARDE;;SE;524.00;0.00;10.48;14.01;548.49;11;10/12/2025
734;1° ANO C - TARDE;;SE;524.00;0.00;10.48;14.01;548.49;12;10/12/2025
781;1° ANO C - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
781;1° ANO C - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1028;1° ANO C - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1028;1° ANO C - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
998;1° ANO C - TARDE;;SE;524.00;0.00;10.48;15.56;550.04;11;01/12/2025
998;1° ANO C - TARDE;;SE;524.00;0.00;10.48;11.93;546.41;12;22/12/2025
787;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
787;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
600;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
600;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
994;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
994;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
629;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
883;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
869;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;34.14;466.62;6;30/06/2025
869;2º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
864;2º ANO - MANHÃ;;SE;1100.00;0.00;22.00;25.05;1147.05;12;22/12/2025
644;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
875;2º ANO - TARDE;;SE;750.00;0.00;15.00;22.28;787.28;11;01/12/2025
757;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
757;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;46.87;479.35;3;31/03/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;42.68;475.16;4;30/04/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;38.06;470.54;5;02/06/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;34.14;466.62;6;30/06/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;29.80;462.28;7;31/07/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;25.33;457.81;8;01/09/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;21.27;453.75;9;30/09/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
698;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1013;2º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
1013;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1013;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
631;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
631;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1024;2º ANO - TARDE;;SE;524.00;0.00;10.48;14.01;548.49;11;10/12/2025
1024;2º ANO - TARDE;;SE;524.00;0.00;10.48;14.01;548.49;12;10/12/2025
999;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
999;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
671;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
671;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
667;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;42.68;475.16;4;30/04/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;38.06;470.54;5;02/06/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;34.14;466.62;6;30/06/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;29.80;462.28;7;31/07/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;25.33;457.81;8;01/09/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;21.27;453.75;9;30/09/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
820;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;46.87;479.35;3;31/03/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;42.68;475.16;4;30/04/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;38.06;470.54;5;02/06/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;34.14;466.62;6;30/06/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;29.80;462.28;7;31/07/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;25.33;457.81;8;01/09/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;21.27;453.75;9;30/09/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;16.93;449.41;10;31/10/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
882;2º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1005;2º ANO - TARDE;;SE;524.00;0.00;10.48;15.56;550.04;11;01/12/2025
1005;2º ANO - TARDE;;SE;524.00;0.00;10.48;11.93;546.41;12;22/12/2025
727;3º ANO - MANHÃ;;SE;1180.00;0.00;23.60;35.05;1238.65;11;01/12/2025
727;3º ANO - MANHÃ;;SE;1180.00;0.00;23.60;26.87;1230.47;12;22/12/2025
595;3º ANO - MANHÃ;;SE;574.00;0.00;11.48;17.05;602.53;11;01/12/2025
595;3º ANO - MANHÃ;;SE;574.00;0.00;11.48;13.07;598.55;12;22/12/2025
587;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
587;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
830;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
906;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
906;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1004;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1004;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
803;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
643;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
643;3º ANO - MANHÃ;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
908;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1006;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1022;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1022;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
1029;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
1029;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
567;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
567;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
749;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
749;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
576;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
576;3º ANO - TARDE;;SE;424.00;0.00;8.48;9.65;442.13;12;22/12/2025
558;3º ANO - TARDE;;SE;424.00;0.00;8.48;12.59;445.07;11;01/12/2025
