matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;120.55;460.21;2;28/02/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;117.14;456.80;3;31/03/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;113.74;453.40;4;01/05/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;110.44;450.10;5;31/05/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;107.14;446.80;6;30/06/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;103.74;443.40;7;31/07/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;100.33;439.99;8;31/08/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;96.81;436.47;9;02/10/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;93.63;433.29;10;31/10/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;90.33;429.99;11;30/11/2023
903;INFANTIL II (B) - TARDE;;SE;333.00;0.00;6.66;88.13;427.79;12;20/12/2023
848;INFANTIL III B - TARDE;;SE;333.00;0.00;6.66;90.33;429.99;11;30/11/2023
848;INFANTIL III B - TARDE;;SE;333.00;0.00;6.66;88.13;427.79;12;20/12/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;117.14;456.80;3;31/03/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;113.85;453.51;4;30/04/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;110.44;450.10;5;31/05/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;107.14;446.80;6;30/06/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;103.74;443.40;7;31/07/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;100.33;439.99;8;31/08/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;97.03;436.69;9;30/09/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;93.63;433.29;10;31/10/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;90.33;429.99;11;30/11/2023
820;INFANTIL V B - TARDE;;SE;333.00;0.00;6.66;88.13;427.79;12;20/12/2023
863;1º ANO - TARDE;;SE;358.00;0.00;7.16;111.52;476.68;7;31/07/2023
863;1º ANO - TARDE;;SE;358.00;0.00;7.16;97.11;462.27;11;30/11/2023
863;1º ANO - TARDE;;SE;358.00;0.00;7.16;94.75;459.91;12;20/12/2023
733;4º ANO - MANHÃ;;SE;358.00;0.00;7.16;132.91;498.07;1;31/01/2023
85;4º ANO - MANHÃ;;SE;358.00;0.00;7.16;100.66;465.82;10;31/10/2023
85;4º ANO - MANHÃ;;SE;358.00;0.00;7.16;97.11;462.27;11;30/11/2023
85;4º ANO - MANHÃ;;SE;358.00;0.00;7.16;94.75;459.91;12;20/12/2023
2;4º ANO - MANHÃ;;SE;358.00;0.00;7.16;132.91;498.07;1;31/01/2023
242;5º ANO - TARDE;;SE;358.00;0.00;7.16;132.91;498.07;1;31/01/2023
