matricula;turma;atividade;tipo_duplicata;valor;vlr_desconto;vlr_multa;vlr_juros;valor_atual;parcela;dt_vencimento;dt_pgto;vlr_pago
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;1;31/01/2023;19/01/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;2;28/02/2023;24/02/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;3;31/03/2023;24/03/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;4;30/04/2023;24/04/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;5;31/05/2023;23/05/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;6;30/06/2023;26/06/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;7;31/07/2023;24/07/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;8;31/08/2023;24/08/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;9;30/09/2023;25/09/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;10;31/10/2023;23/10/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;11;30/11/2023;24/11/2023;750.00
894;INFANTIL II A - MANHÃ;;SE;894.00;0.00;0.00;0.00;0.00;12;20/12/2023;20/12/2023;750.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;2;28/02/2023;28/02/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;3;31/03/2023;31/03/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;4;30/04/2023;30/04/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;5;31/05/2023;31/05/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;6;30/06/2023;30/06/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;7;31/07/2023;31/07/2023;0.00
877;INFANTIL II A - MANHÃ;;SE;333.00;0.00;0.00;0.00;0.00;8;31/08/2023;31/08/2023;0.00
